"_id","_ignored","_index","_score",address,"alcohol_served","avg_rating",cuisine,"delivery_available",geo,id,"outdoor_seating","phone_number","price_range","rating_count","restaurant_name",timing,"vegetarian_friendly"
5,"-",geo,1,"Delights Hub, Besant Nagar, Chennai",Yes,"4.1",Mexican,Yes,"POINT (80.189 13.045)",5,No,"044-34567890",Expensive,450,"Delights Hub","12:00 PM - 12:00 AM",Yes
7,"-",geo,1,"Bistro Nest, Nungambakkam, Chennai",Yes,"4.3",Continental,No,"POINT (80.254 13.087)",7,Yes,"044-67890123",Expensive,180,"Bistro Nest","11:00 AM - 11:00 PM",No
13,"-",geo,1,"Plate Den, Chromepet, Chennai",No,"4.1",Andhra,Yes,"POINT (80.247 13.041)",13,No,"044-23450987",Budget,230,"Plate Den","10:00 AM - 10:00 PM",Yes
22,"-",geo,1,"Bistro Corner, Kodambakkam, Chennai",No,"3.7",Chinese,Yes,"POINT (80.187 13.088)",22,No,"044-54321098",Budget,140,"Bistro Corner","12:00 PM - 12:00 AM",No
24,"-",geo,1,"Diner Garden, Guindy, Chennai",No,4,Biryani,Yes,"POINT (80.269 13.061)",24,No,"044-32109876","Mid-range",250,"Diner Garden","11:00 AM - 11:00 PM",No
26,"-",geo,1,"Grill Spot, Tambaram, Chennai",No,"3.8","North Indian",Yes,"POINT (80.241 13.077)",26,No,"044-10987654",Budget,110,"Grill Spot","10:00 AM - 10:00 PM",Yes
2,"-",geo,1,"Taste House, Anna Nagar, Chennai",Yes,"3.8",Chinese,No,"POINT (80.198 13.078)",2,Yes,"044-87654321",Expensive,200,"Taste House","12:00 PM - 12:00 AM",No
3,"-",geo,1,"Flavors Spot, Mylapore, Chennai",Yes,"4.5",Italian,Yes,"POINT (80.215 13.092)",3,Yes,"044-45678912","Mid-range",320,"Flavors Spot","10:00 AM - 10:00 PM",Yes
4,"-",geo,1,"Aromas Corner, Adyar, Chennai",No,"3.9",Biryani,No,"POINT (80.267 13.067)",4,No,"044-23456789",Budget,85,"Aromas Corner","11:00 AM - 11:00 PM",No
10,"-",geo,1,"Eatery Barn, Guindy, Chennai",No,4,Seafood,Yes,"POINT (80.261 13.049)",10,No,"044-90123456","Mid-range",120,"Eatery Barn","10:00 AM - 10:00 PM",No
12,"-",geo,1,"Oven Terrace, Tambaram, Chennai",Yes,"3.9",Thai,No,"POINT (80.192 13.098)",12,Yes,"044-12345098",Expensive,160,"Oven Terrace","12:00 PM - 12:00 AM",Yes
14,"-",geo,1,"Bowl Palace, Porur, Chennai",No,"4.3",Kerala,Yes,"POINT (80.276 13.085)",14,No,"044-34509876","Mid-range",340,"Bowl Palace","11:00 AM - 11:00 PM",Yes
15,"-",geo,1,"Fork of Chennai, T. Nagar, Chennai",No,"3.8",Punjabi,No,"POINT (80.183 13.059)",15,Yes,"044-45098765",Budget,95,"Fork of Chennai","12:00 PM - 12:00 AM",Yes
19,"-",geo,1,"Aromas Shack, Besant Nagar, Chennai",Yes,"4.1",Lebanese,Yes,"POINT (80.239 13.052)",19,Yes,"044-87654321",Expensive,130,"Aromas Shack","12:00 PM - 12:00 AM",Yes
20,"-",geo,1,"Delights Barn, Velachery, Chennai",Yes,"3.9",American,No,"POINT (80.174 13.069)",20,No,"044-76543210","Mid-range",210,"Delights Barn","10:00 AM - 10:00 PM",No
21,"-",geo,1,"Kitchen of Chennai, Nungambakkam, Chennai",No,"4.5","South Indian",Yes,"POINT (80.263 13.115)",21,Yes,"044-65432109","Mid-range",380,"Kitchen of Chennai","11:00 AM - 11:00 PM",Yes
